key1,key2,key3,data1
blue,96,circle,0.736988738
yellow,38,triangle,0.910240722
yellow,79,circle,0.521353599
yellow,82,circle,0.981021545
blue,101,square,0.882951262
orange,31,triangle,0.03010397
orange,42,square,0.344363127
yellow,33,triangle,0.019564965
orange,90,circle,0.700585381
yellow,65,square,0.669365557
blue,41,square,0.418325211
blue,26,triangle,0.370560519
green,95,circle,0.678872486
yellow,2,triangle,0.313475834
blue,9,triangle,0.471767795
red,98,circle,0.021546966
yellow,71,square,0.839510321
red,52,square,0.989575445
red,35,triangle,0.215623504
yellow,27,triangle,0.41590741
green,8,triangle,0.692875516
yellow,75,circle,0.478947712
orange,21,triangle,0.437726604
blue,72,square,0.214066645
red,93,circle,0.667704281
orange,11,triangle,0.271396876
yellow,69,square,0.45406203
yellow,57,square,0.994582842
blue,68,square,0.873921327
orange,87,circle,0.092248169
orange,60,square,0.731183576
blue,3,triangle,0.949114986
orange,73,circle,0.410779561
yellow,92,circle,0.041079024
red,66,square,0.244717791
blue,43,square,0.552534913
orange,39,triangle,0.454057576
red,97,circle,0.076291413
orange,14,triangle,0.413519425
blue,22,triangle,0.367719771
blue,13,triangle,0.738703008
blue,64,square,0.246647303
yellow,55,square,0.297853184
yellow,20,triangle,0.967742673
red,94,circle,0.479289541
green,99,circle,0.844657919
yellow,61,square,0.754249607
blue,19,triangle,0.157239319
blue,100,circle,0.900034048
blue,81,circle,0.902157768
yellow,51,square,0.513787604
blue,102,circle,0.893972579
red,24,triangle,0.748542166
blue,78,circle,0.786270322
green,67,square,0.552845584
orange,4,triangle,0.100895815
green,36,triangle,0.109213602
blue,5,triangle,0.110647727
yellow,10,triangle,0.095395615
orange,49,square,0.358914801
blue,15,triangle,0.213017663
red,83,circle,0.325412209
red,76,circle,0.16986183
green,84,circle,0.864482149
yellow,40,triangle,0.922233083
blue,89,circle,0.736231611
green,77,circle,0.503067689
yellow,86,circle,0.906336862
orange,70,square,0.774241921
yellow,44,square,0.684697781
blue,91,circle,0.307361051
green,25,triangle,0.013763822
blue,47,square,0.229497444
green,53,square,0.007152835
blue,58,square,0.048970129
blue,30,triangle,0.230070123
red,45,square,0.350683076
green,18,triangle,0.439501517
orange,28,triangle,0.855596944
yellow,48,square,0.126702182
yellow,6,triangle,0.388132272
yellow,29,triangle,0.751114324
red,7,triangle,0.146575483
yellow,23,triangle,0.305123464
yellow,16,triangle,0.002046402
orange,63,square,0.329981918
blue,32,triangle,0.683184448
blue,74,circle,0.944690576
orange,80,circle,0.370500917
blue,37,triangle,0.968383648
red,17,triangle,0.262227143
blue,54,square,0.063770505
orange,56,square,0.619259867
blue,50,square,0.558182247
yellow,12,triangle,0.837963558
green,46,square,0.393775482
orange,59,square,0.679992829
yellow,88,circle,0.866214846
red,34,triangle,0.087565324
orange,1,triangle,0.818046734
