Hour-ahead forecast,Demand,Day-ahead net forecast,Net demand,Demand response event,Month,Day,Hour,Minute
31343,31342,28606,28909,,9,1,0,0
30930,31292,26860,28778,,9,1,0,5
30930,31354,26860,28803,,9,1,0,10
30930,31221,26860,28735,,9,1,0,15
30464,31162,26860,28622,,9,1,0,20
30464,30964,26860,28444,,9,1,0,25
30464,30768,26860,28210,,9,1,0,30
30034,30627,26860,28001,,9,1,0,35
30034,30433,26860,27785,,9,1,0,40
30034,30283,26860,27675,,9,1,0,45
29668,30122,26860,27522,,9,1,0,50
29668,29980,26860,27408,,9,1,0,55
29668,29828,26860,27251,,9,1,1,0
29315,29667,25033,27122,,9,1,1,5
29315,29575,25033,26984,,9,1,1,10
29315,29463,25033,26883,,9,1,1,15
28862,29350,25033,26729,,9,1,1,20
28862,29195,25033,26596,,9,1,1,25
28862,29067,25033,26435,,9,1,1,30
28564,29004,25033,26369,,9,1,1,35
28564,28940,25033,26293,,9,1,1,40
28564,28787,25033,26192,,9,1,1,45
28367,28666,25033,26077,,9,1,1,50
28367,28576,25033,26051,,9,1,1,55
28367,28377,25033,25977,,9,1,2,0
28069,28237,24208,25824,,9,1,2,5
28069,28139,24208,25786,,9,1,2,10
28069,28046,24208,25679,,9,1,2,15
27584,27936,24208,25586,,9,1,2,20
27584,27835,24208,25494,,9,1,2,25
27584,27746,24208,25413,,9,1,2,30
27452,27652,24208,25339,,9,1,2,35
27452,27592,24208,25308,,9,1,2,40
27452,27485,24208,25269,,9,1,2,45
27241,27407,24208,25242,,9,1,2,50
27241,27322,24208,25233,,9,1,2,55
27241,27235,24208,25188,,9,1,3,0
27075,27178,23729,25166,,9,1,3,5
27075,27155,23729,25176,,9,1,3,10
27075,27095,23729,25210,,9,1,3,15
26850,27041,23729,25188,,9,1,3,20
26850,26966,23729,25182,,9,1,3,25
26850,26907,23729,25158,,9,1,3,30
26744,26881,23729,25150,,9,1,3,35
26744,26837,23729,25142,,9,1,3,40
26744,26762,23729,25120,,9,1,3,45
26727,26740,23729,25086,,9,1,3,50
26727,26748,23729,25120,,9,1,3,55
26727,26727,23729,25140,,9,1,4,0
26798,26765,23861,25166,,9,1,4,5
26798,26826,23861,25285,,9,1,4,10
26798,26809,23861,25325,,9,1,4,15
26843,26823,23861,25342,,9,1,4,20
26843,26790,23861,25377,,9,1,4,25
26843,26781,23861,25375,,9,1,4,30
26860,26804,23861,25429,,9,1,4,35
26860,26820,23861,25523,,9,1,4,40
26860,26841,23861,25563,,9,1,4,45
27155,26841,23861,25570,,9,1,4,50
27155,26813,23861,25563,,9,1,4,55
27155,26846,23861,25582,,9,1,5,0
27370,27034,25118,25671,,9,1,5,5
27370,27199,25118,25901,,9,1,5,10
27370,27264,25118,26031,,9,1,5,15
27544,27338,25118,26132,,9,1,5,20
27544,27390,25118,26189,,9,1,5,25
27544,27423,25118,26246,,9,1,5,30
27696,27527,25118,26356,,9,1,5,35
27696,27583,25118,26456,,9,1,5,40
27696,27642,25118,26581,,9,1,5,45
28155,27734,25118,26696,,9,1,5,50
28155,27828,25118,26799,,9,1,5,55
28155,27954,25118,26895,,9,1,6,0
28647,28323,26931,27160,,9,1,6,5
28647,28757,26931,27681,,9,1,6,10
28647,28892,26931,27987,,9,1,6,15
29091,28984,26931,28174,,9,1,6,20
29091,29027,26931,28245,,9,1,6,25
29091,29047,26931,28280,,9,1,6,30
29255,29122,26931,28244,,9,1,6,35
29255,29227,26931,28257,,9,1,6,40
29255,29240,26931,28117,,9,1,6,45
29574,29306,26931,27968,,9,1,6,50
29574,29376,26931,27770,,9,1,6,55
29574,29460,26931,27541,,9,1,7,0
29994,29621,24319,27238,,9,1,7,5
29994,29766,24319,27068,,9,1,7,10
29994,29841,24319,26765,,9,1,7,15
30132,29950,24319,26495,,9,1,7,20
30132,30007,24319,26260,,9,1,7,25
30132,30076,24319,25926,,9,1,7,30
30180,30105,24319,25583,,9,1,7,35
30180,30198,24319,25202,,9,1,7,40
30180,30202,24319,24882,,9,1,7,45
30455,30191,24319,24654,,9,1,7,50
30455,30261,24319,24476,,9,1,7,55
30455,30298,24319,24181,,9,1,8,0
30624,30422,20116,23894,,9,1,8,5
30624,30564,20116,23734,,9,1,8,10
30624,30663,20116,23486,,9,1,8,15
30696,30724,20116,23186,,9,1,8,20
30696,30778,20116,22856,,9,1,8,25
30696,30836,20116,22634,,9,1,8,30
30951,30941,20116,22530,,9,1,8,35
30951,31076,20116,22505,,9,1,8,40
30951,31166,20116,22612,,9,1,8,45
31369,31237,20116,22612,,9,1,8,50
31369,31297,20116,22466,,9,1,8,55
31369,31370,20116,22321,,9,1,9,0
31592,31403,19123,22131,,9,1,9,5
31592,31544,19123,22120,,9,1,9,10
31592,31558,19123,22070,,9,1,9,15
31632,31604,19123,21828,,9,1,9,20
31632,31689,19123,21729,,9,1,9,25
31632,31879,19123,21788,,9,1,9,30
31980,31964,19123,21605,,9,1,9,35
31980,32035,19123,21461,,9,1,9,40
31980,32184,19123,21607,,9,1,9,45
32535,32348,19123,21588,,9,1,9,50
32535,32435,19123,21580,,9,1,9,55
32535,32536,19123,21444,,9,1,10,0
32978,32668,19787,21384,,9,1,10,5
32978,32846,19787,21394,,9,1,10,10
32978,32996,19787,21474,,9,1,10,15
33351,33075,19787,21483,,9,1,10,20
33351,33170,19787,21460,,9,1,10,25
33351,33286,19787,21507,,9,1,10,30
33759,33406,19787,21490,,9,1,10,35
33759,33518,19787,21469,,9,1,10,40
33759,33665,19787,21610,,9,1,10,45
34169,33777,19787,21718,,9,1,10,50
34169,33899,19787,21817,,9,1,10,55
34169,34061,19787,21942,,9,1,11,0
34614,34196,21264,21960,,9,1,11,5
34614,34313,21264,22038,,9,1,11,10
34614,34544,21264,22141,,9,1,11,15
35134,34760,21264,22289,,9,1,11,20
35134,34922,21264,22327,,9,1,11,25
35134,35096,21264,22393,,9,1,11,30
35755,35249,21264,22619,,9,1,11,35
35755,35452,21264,22602,,9,1,11,40
35755,35694,21264,22534,,9,1,11,45
36292,35850,21264,22612,,9,1,11,50
36292,36046,21264,22751,,9,1,11,55
36292,36228,21264,22832,,9,1,12,0
36901,36399,23367,23112,,9,1,12,5
36901,36573,23367,23279,,9,1,12,10
